,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
10672,Estonia,2010,11,N02-Analgesics,"Million US$, purchasing power parity",10.2
10673,Estonia,2010,11,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",4.9
10674,Estonia,2010,11,N05B-Anxiolytics,"Million US$, purchasing power parity",2.2
10675,Estonia,2010,11,N05B-Anxiolytics,Million US$ at exchange rate,1.5
10676,Estonia,2010,11,N02-Analgesics,"/capita, US$ exchange rate",5.2
10677,Estonia,2010,11,N02-Analgesics,"/capita, US$ purchasing power parity",7.6
10678,Estonia,2010,11,N02-Analgesics,% of total sales,2.7
10679,Estonia,2010,11,N05B-Anxiolytics,Million of national currency units,1.1
10680,Estonia,2010,11,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,2.5
10681,Estonia,2010,11,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,3.3
10682,Estonia,2010,11,C-Cardiovascular system,"/capita, US$ exchange rate",34.8
10683,Estonia,2010,11,C-Cardiovascular system,"Million US$, purchasing power parity",68.3
10684,Estonia,2010,11,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",2.5
10685,Estonia,2010,11,C02-Antihypertensives,% of total sales,0.5
10686,Estonia,2010,11,N02-Analgesics,Million US$ at exchange rate,6.9
10687,Estonia,2010,11,N05B-Anxiolytics,"/capita, US$ exchange rate",1.1
10688,Estonia,2010,11,C-Cardiovascular system,Million US$ at exchange rate,46.3
10689,Estonia,2010,11,C-Cardiovascular system,Million of national currency units,35.0
10690,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,3.6
10691,Estonia,2010,11,N02-Analgesics,Million of national currency units,5.2
10692,Estonia,2010,11,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",15.2
10693,Estonia,2010,11,B-Blood and blood forming organs,% of total sales,5.3
10694,Estonia,2010,11,B-Blood and blood forming organs,Million US$ at exchange rate,13.7
10695,Estonia,2010,11,B-Blood and blood forming organs,"/capita, US$ exchange rate",10.3
10696,Estonia,2010,11,B-Blood and blood forming organs,"Million US$, purchasing power parity",20.2
10697,Estonia,2010,11,R-Respiratory system,"/capita, US$ exchange rate",14.4
10698,Estonia,2010,11,R-Respiratory system,"/capita, US$ purchasing power parity",21.2
10699,Estonia,2010,11,R-Respiratory system,"Million US$, purchasing power parity",28.2
10700,Estonia,2010,11,R-Respiratory system,Million of national currency units,14.5
10701,Estonia,2010,11,R-Respiratory system,Million US$ at exchange rate,19.2
10702,Estonia,2010,11,A02A-Antacids,Million of national currency units,0.3
10703,Estonia,2010,11,C10-Lipid modifying agents,% of total sales,2.7
10704,Estonia,2010,11,A02A-Antacids,"Million US$, purchasing power parity",0.5
10705,Estonia,2010,11,A02A-Antacids,Million US$ at exchange rate,0.4
10706,Estonia,2010,11,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",7.8
10707,Estonia,2010,11,C10-Lipid modifying agents,Million US$ at exchange rate,7.1
10708,Estonia,2010,11,C10-Lipid modifying agents,Million of national currency units,5.3
10709,Estonia,2010,11,B-Blood and blood forming organs,Million of national currency units,10.3
10710,Estonia,2010,11,C10-Lipid modifying agents,"/capita, US$ exchange rate",5.3
10711,Estonia,2010,11,C10-Lipid modifying agents,"Million US$, purchasing power parity",10.4
10712,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",22.8
10713,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,15.5
10714,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",17.1
10715,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",11.6
10716,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,11.7
10717,Estonia,2010,11,R03-Drugs for obstructive airway diseases,Million of national currency units,6.4
10718,Estonia,2010,11,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",6.4
10719,Estonia,2010,11,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",9.4
10720,Estonia,2010,11,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,8.5
10721,Estonia,2010,11,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",12.5
10722,Estonia,2010,11,C09-Agents acting on the Renin-Angiotensin system,% of total sales,6.0
10723,Estonia,2010,11,C08-Calcium channel blockers,"Million US$, purchasing power parity",9.7
10724,Estonia,2010,11,C08-Calcium channel blockers,"/capita, US$ exchange rate",4.9
10725,Estonia,2010,11,C08-Calcium channel blockers,Million US$ at exchange rate,6.6
10726,Estonia,2010,11,R-Respiratory system,% of total sales,7.5
10727,Estonia,2010,11,C08-Calcium channel blockers,Million of national currency units,4.9
10728,Estonia,2010,11,R03-Drugs for obstructive airway diseases,% of total sales,3.3
10729,Estonia,2010,11,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",7.3
10730,Estonia,2010,11,C08-Calcium channel blockers,% of total sales,2.6
10731,Estonia,2010,11,C03-Diuretics,Million of national currency units,1.6
10732,Estonia,2010,11,N05C-Hypnotics and sedatives,Million US$ at exchange rate,1.8
10733,Estonia,2010,11,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",2.7
10734,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",12.7
10735,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,8.6
10736,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,Million of national currency units,6.5
10737,Estonia,2010,11,N05C-Hypnotics and sedatives,Million of national currency units,1.4
10738,Estonia,2010,11,G-Genito urinary system and sex hormones,% of total sales,5.5
10739,Estonia,2010,11,N05C-Hypnotics and sedatives,% of total sales,0.7
10740,Estonia,2010,11,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.4
10741,Estonia,2010,11,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",2.0
10742,Estonia,2010,11,C03-Diuretics,"/capita, US$ exchange rate",1.6
10743,Estonia,2010,11,C03-Diuretics,"/capita, US$ purchasing power parity",2.3
10744,Estonia,2010,11,C03-Diuretics,Million US$ at exchange rate,2.1
10745,Estonia,2010,11,C03-Diuretics,"Million US$, purchasing power parity",3.1
10746,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",9.5
10747,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",6.5
10748,Estonia,2010,11,C03-Diuretics,% of total sales,0.8
10749,Estonia,2010,11,G03-Sex hormones and modulators of the genital system,% of total sales,3.4
10750,Estonia,2010,11,C07-Beta blocking agents,Million US$ at exchange rate,7.2
10751,Estonia,2010,11,C07-Beta blocking agents,"Million US$, purchasing power parity",10.7
10752,Estonia,2010,11,C07-Beta blocking agents,"/capita, US$ exchange rate",5.4
10753,Estonia,2010,11,C07-Beta blocking agents,Million of national currency units,5.5
10754,Estonia,2010,11,A02A-Antacids,% of total sales,0.1
10755,Estonia,2010,11,A02A-Antacids,"/capita, US$ purchasing power parity",0.4
10756,Estonia,2010,11,C07-Beta blocking agents,"/capita, US$ purchasing power parity",8.0
10757,Estonia,2010,11,C07-Beta blocking agents,% of total sales,2.8
10758,Estonia,2010,11,A02A-Antacids,"/capita, US$ exchange rate",0.3
10759,Estonia,2010,11,G-Genito urinary system and sex hormones,Million US$ at exchange rate,14.1
10760,Estonia,2010,11,G-Genito urinary system and sex hormones,Million of national currency units,10.6
10761,Estonia,2010,11,N06A-Antidepressants,Million of national currency units,3.0
10762,Estonia,2010,11,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",20.7
10763,Estonia,2010,11,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",15.6
10764,Estonia,2010,11,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",10.6
10765,Estonia,2010,11,N06A-Antidepressants,"/capita, US$ exchange rate",3.0
10766,Estonia,2010,11,N06A-Antidepressants,% of total sales,1.6
10767,Estonia,2010,11,N06A-Antidepressants,"/capita, US$ purchasing power parity",4.4
10768,Estonia,2010,11,N06A-Antidepressants,Million US$ at exchange rate,4.0
10769,Estonia,2010,11,N06A-Antidepressants,"Million US$, purchasing power parity",5.9
10770,Estonia,2010,11,A-Alimentary tract and metabolism,Million US$ at exchange rate,31.2
10771,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,1.9
10772,Estonia,2010,11,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",34.5
10773,Estonia,2010,11,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",23.4
10774,Estonia,2010,11,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",46.0
10775,Estonia,2010,11,A-Alimentary tract and metabolism,Million of national currency units,23.5
10776,Estonia,2010,11,A10-Drugs used in diabetes,% of total sales,5.9
10777,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",5.3
10778,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",7.1
10779,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",3.6
10780,Estonia,2010,11,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",16.8
10781,Estonia,2010,11,N-Nervous system,% of total sales,11.1
10782,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,1.0
10783,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,0.8
10784,Estonia,2010,11,N-Nervous system,"Million US$, purchasing power parity",42.0
10785,Estonia,2010,11,N-Nervous system,"/capita, US$ exchange rate",21.4
10786,Estonia,2010,11,N-Nervous system,"/capita, US$ purchasing power parity",31.5
10787,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.4
10788,Estonia,2010,11,A-Alimentary tract and metabolism,% of total sales,12.1
10789,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",1.5
10790,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",1.1
10791,Estonia,2010,11,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.7
10792,Estonia,2010,11,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.2
10793,Estonia,2010,11,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.2
10794,Estonia,2010,11,C01A-Cardiac glycosides,Million of national currency units,0.2
10795,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",6.1
10796,Estonia,2010,11,C01A-Cardiac glycosides,Million US$ at exchange rate,0.2
10797,Estonia,2010,11,C01A-Cardiac glycosides,"Million US$, purchasing power parity",0.3
10798,Estonia,2010,11,C01A-Cardiac glycosides,% of total sales,0.1
10799,Estonia,2010,11,Total pharmaceutical sales,"Million US$, purchasing power parity",379.0
10800,Estonia,2010,11,Total pharmaceutical sales,Million of national currency units,194.1
10801,Estonia,2010,11,Total pharmaceutical sales,Million US$ at exchange rate,257.2
10802,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,3.2
10803,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",9.0
10804,Estonia,2010,11,M-Musculo-skeletal system,% of total sales,5.6
10805,Estonia,2010,11,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",15.8
10806,Estonia,2010,11,M-Musculo-skeletal system,"/capita, US$ exchange rate",10.7
10807,Estonia,2010,11,A10-Drugs used in diabetes,"/capita, US$ exchange rate",11.4
10808,Estonia,2010,11,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,4.8
10809,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,8.1
10810,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",11.9
10811,Estonia,2010,11,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,6.1
10812,Estonia,2010,11,M-Musculo-skeletal system,Million of national currency units,10.8
10813,Estonia,2010,11,M-Musculo-skeletal system,"Million US$, purchasing power parity",21.1
10814,Estonia,2010,11,M-Musculo-skeletal system,Million US$ at exchange rate,14.3
10815,Estonia,2010,11,J-Antiinfectives for systemic use,Million US$ at exchange rate,26.3
10816,Estonia,2010,11,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",38.7
10817,Estonia,2010,11,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",15.3
10818,Estonia,2010,11,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",29.1
10819,Estonia,2010,11,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",19.7
10820,Estonia,2010,11,Total pharmaceutical sales,"/capita, US$ purchasing power parity",284.6
10821,Estonia,2010,11,A10-Drugs used in diabetes,"Million US$, purchasing power parity",22.4
10822,Estonia,2010,11,J-Antiinfectives for systemic use,Million of national currency units,19.8
10823,Estonia,2010,11,J01-Antibacterials for systemic use,Million of national currency units,7.9
10824,Estonia,2010,11,J01-Antibacterials for systemic use,Million US$ at exchange rate,10.4
10825,Estonia,2010,11,A10-Drugs used in diabetes,Million of national currency units,11.5
10826,Estonia,2010,11,A10-Drugs used in diabetes,Million US$ at exchange rate,15.2
10827,Estonia,2010,11,C-Cardiovascular system,"/capita, US$ purchasing power parity",51.3
10828,Estonia,2010,11,N-Nervous system,Million of national currency units,21.5
10829,Estonia,2010,11,N-Nervous system,Million US$ at exchange rate,28.5
10830,Estonia,2010,11,C-Cardiovascular system,% of total sales,18.0
10831,Estonia,2010,11,J-Antiinfectives for systemic use,% of total sales,10.2
10832,Estonia,2010,11,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",7.8
10833,Estonia,2010,11,Total pharmaceutical sales,"/capita, US$ exchange rate",193.2
10834,Estonia,2010,11,J01-Antibacterials for systemic use,% of total sales,4.0
10835,Estonia,2010,11,C02-Antihypertensives,Million of national currency units,0.9
10836,Estonia,2010,11,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",11.5
10837,Estonia,2017,9,C02-Antihypertensives,"Million US$, purchasing power parity",1.7
10838,Estonia,2017,9,C02-Antihypertensives,"/capita, US$ exchange rate",0.8
10839,Estonia,2017,9,C02-Antihypertensives,Million US$ at exchange rate,1.0
10840,Estonia,2017,9,N05B-Anxiolytics,"/capita, US$ purchasing power parity",2.0
10841,Estonia,2017,9,N05B-Anxiolytics,% of total sales,0.5
10842,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,1.4
10843,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",6.1
10844,Estonia,2017,9,N02-Analgesics,"/capita, US$ purchasing power parity",11.3
10845,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,4.9
10846,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",8.1
10847,Estonia,2017,9,N02-Analgesics,Million US$ at exchange rate,9.0
10848,Estonia,2017,9,N05B-Anxiolytics,Million US$ at exchange rate,1.6
10849,Estonia,2017,9,N05B-Anxiolytics,Million of national currency units,1.4
10850,Estonia,2017,9,N02-Analgesics,"Million US$, purchasing power parity",14.9
10851,Estonia,2017,9,N02-Analgesics,"/capita, US$ exchange rate",6.8
10852,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,4.3
10853,Estonia,2017,9,N02-Analgesics,% of total sales,2.6
10854,Estonia,2017,9,N05B-Anxiolytics,"Million US$, purchasing power parity",2.6
10855,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,3.7
10856,Estonia,2017,9,C-Cardiovascular system,"/capita, US$ exchange rate",25.7
10857,Estonia,2017,9,C-Cardiovascular system,"Million US$, purchasing power parity",56.0
10858,Estonia,2017,9,C02-Antihypertensives,"/capita, US$ purchasing power parity",1.3
10859,Estonia,2017,9,C02-Antihypertensives,% of total sales,0.3
10860,Estonia,2017,9,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",3.7
10861,Estonia,2017,9,C-Cardiovascular system,Million US$ at exchange rate,33.8
10862,Estonia,2017,9,N02-Analgesics,Million of national currency units,7.9
10863,Estonia,2017,9,N05B-Anxiolytics,"/capita, US$ exchange rate",1.2
10864,Estonia,2017,9,C-Cardiovascular system,Million of national currency units,29.9
10865,Estonia,2017,9,B-Blood and blood forming organs,"/capita, US$ exchange rate",25.2
10866,Estonia,2017,9,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",41.7
10867,Estonia,2017,9,B-Blood and blood forming organs,Million US$ at exchange rate,33.2
10868,Estonia,2017,9,B-Blood and blood forming organs,"Million US$, purchasing power parity",54.9
10869,Estonia,2017,9,B-Blood and blood forming organs,% of total sales,9.8
10870,Estonia,2017,9,R-Respiratory system,"Million US$, purchasing power parity",41.3
10871,Estonia,2017,9,R-Respiratory system,"/capita, US$ exchange rate",18.9
10872,Estonia,2017,9,R-Respiratory system,Million of national currency units,22.1
10873,Estonia,2017,9,R-Respiratory system,Million US$ at exchange rate,25.0
10874,Estonia,2017,9,C10-Lipid modifying agents,% of total sales,1.0
10875,Estonia,2017,9,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",4.5
10876,Estonia,2017,9,A02A-Antacids,Million of national currency units,0.4
10877,Estonia,2017,9,A02A-Antacids,"Million US$, purchasing power parity",0.7
10878,Estonia,2017,9,A02A-Antacids,Million US$ at exchange rate,0.4
10879,Estonia,2017,9,C10-Lipid modifying agents,Million of national currency units,3.1
10880,Estonia,2017,9,C10-Lipid modifying agents,Million US$ at exchange rate,3.5
10881,Estonia,2017,9,B-Blood and blood forming organs,Million of national currency units,29.4
10882,Estonia,2017,9,C10-Lipid modifying agents,"/capita, US$ exchange rate",2.7
10883,Estonia,2017,9,C10-Lipid modifying agents,"Million US$, purchasing power parity",5.9
10884,Estonia,2017,9,R-Respiratory system,"/capita, US$ purchasing power parity",31.4
10885,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,13.3
10886,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,11.7
10887,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",21.9
10888,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",16.7
10889,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",10.1
10890,Estonia,2017,9,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",17.2
10891,Estonia,2017,9,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",7.9
10892,Estonia,2017,9,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",13.1
10893,Estonia,2017,9,R03-Drugs for obstructive airway diseases,Million of national currency units,9.2
10894,Estonia,2017,9,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,10.4
10895,Estonia,2017,9,C08-Calcium channel blockers,Million US$ at exchange rate,2.1
10896,Estonia,2017,9,C08-Calcium channel blockers,"Million US$, purchasing power parity",3.5
10897,Estonia,2017,9,R-Respiratory system,% of total sales,7.3
10898,Estonia,2017,9,C08-Calcium channel blockers,Million of national currency units,1.9
10899,Estonia,2017,9,R03-Drugs for obstructive airway diseases,% of total sales,3.1
10900,Estonia,2017,9,C09-Agents acting on the Renin-Angiotensin system,% of total sales,3.9
10901,Estonia,2017,9,C08-Calcium channel blockers,"/capita, US$ exchange rate",1.6
10902,Estonia,2017,9,C08-Calcium channel blockers,% of total sales,0.6
10903,Estonia,2017,9,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",2.7
10904,Estonia,2017,9,N05C-Hypnotics and sedatives,Million of national currency units,2.0
10905,Estonia,2017,9,N05C-Hypnotics and sedatives,Million US$ at exchange rate,2.2
10906,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,6.1
10907,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,Million of national currency units,5.4
10908,Estonia,2017,9,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",3.7
10909,Estonia,2017,9,N05C-Hypnotics and sedatives,% of total sales,0.7
10910,Estonia,2017,9,G-Genito urinary system and sex hormones,% of total sales,3.8
10911,Estonia,2017,9,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.7
10912,Estonia,2017,9,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",2.8
10913,Estonia,2017,9,C03-Diuretics,"/capita, US$ exchange rate",1.6
10914,Estonia,2017,9,C03-Diuretics,"/capita, US$ purchasing power parity",2.7
10915,Estonia,2017,9,C03-Diuretics,"Million US$, purchasing power parity",3.6
10916,Estonia,2017,9,C03-Diuretics,Million of national currency units,1.9
10917,Estonia,2017,9,C03-Diuretics,Million US$ at exchange rate,2.2
10918,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",4.6
10919,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",7.6
10920,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",10.1
10921,Estonia,2017,9,C03-Diuretics,% of total sales,0.6
10922,Estonia,2017,9,G03-Sex hormones and modulators of the genital system,% of total sales,1.8
10923,Estonia,2017,9,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",16.4
10924,Estonia,2017,9,C07-Beta blocking agents,Million US$ at exchange rate,6.2
10925,Estonia,2017,9,C07-Beta blocking agents,"Million US$, purchasing power parity",10.2
10926,Estonia,2017,9,N06A-Antidepressants,% of total sales,1.1
10927,Estonia,2017,9,A02A-Antacids,% of total sales,0.1
10928,Estonia,2017,9,C07-Beta blocking agents,Million of national currency units,5.5
10929,Estonia,2017,9,A02A-Antacids,"/capita, US$ purchasing power parity",0.6
10930,Estonia,2017,9,A02A-Antacids,"/capita, US$ exchange rate",0.3
10931,Estonia,2017,9,C07-Beta blocking agents,"/capita, US$ exchange rate",4.7
10932,Estonia,2017,9,C07-Beta blocking agents,% of total sales,1.8
10933,Estonia,2017,9,C07-Beta blocking agents,"/capita, US$ purchasing power parity",7.7
10934,Estonia,2017,9,G-Genito urinary system and sex hormones,Million US$ at exchange rate,13.0
10935,Estonia,2017,9,G-Genito urinary system and sex hormones,Million of national currency units,11.5
10936,Estonia,2017,9,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",9.9
10937,Estonia,2017,9,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",21.6
10938,Estonia,2017,9,N06A-Antidepressants,"/capita, US$ exchange rate",2.8
10939,Estonia,2017,9,N06A-Antidepressants,"/capita, US$ purchasing power parity",4.6
10940,Estonia,2017,9,N06A-Antidepressants,Million of national currency units,3.2
10941,Estonia,2017,9,N06A-Antidepressants,"Million US$, purchasing power parity",6.0
10942,Estonia,2017,9,N06A-Antidepressants,Million US$ at exchange rate,3.6
10943,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.3
10944,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,1.2
10945,Estonia,2017,9,A-Alimentary tract and metabolism,Million US$ at exchange rate,40.2
10946,Estonia,2017,9,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",30.5
10947,Estonia,2017,9,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",66.5
10948,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",5.3
10949,Estonia,2017,9,A10-Drugs used in diabetes,% of total sales,6.0
10950,Estonia,2017,9,A-Alimentary tract and metabolism,Million of national currency units,35.6
10951,Estonia,2017,9,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",25.5
10952,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,4.2
10953,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",3.2
10954,Estonia,2017,9,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",7.0
10955,Estonia,2017,9,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",50.5
10956,Estonia,2017,9,N-Nervous system,% of total sales,8.7
10957,Estonia,2017,9,N-Nervous system,"/capita, US$ purchasing power parity",37.2
10958,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,0.8
10959,Estonia,2017,9,N-Nervous system,"Million US$, purchasing power parity",49.0
10960,Estonia,2017,9,N-Nervous system,"/capita, US$ exchange rate",22.5
10961,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",1.1
10962,Estonia,2017,9,A-Alimentary tract and metabolism,% of total sales,11.8
10963,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,0.9
10964,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",1.5
10965,Estonia,2017,9,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.7
10966,Estonia,2017,9,C01A-Cardiac glycosides,"Million US$, purchasing power parity",0.2
10967,Estonia,2017,9,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.1
10968,Estonia,2017,9,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.2
10969,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",8.1
10970,Estonia,2017,9,C01A-Cardiac glycosides,Million of national currency units,0.1
10971,Estonia,2017,9,C01A-Cardiac glycosides,Million US$ at exchange rate,0.1
10972,Estonia,2017,9,Total pharmaceutical sales,Million US$ at exchange rate,340.0
10973,Estonia,2017,9,Total pharmaceutical sales,Million of national currency units,301.0
10974,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,3.2
10975,Estonia,2017,9,C01A-Cardiac glycosides,% of total sales,0.0
10976,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",13.5
10977,Estonia,2017,9,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",23.9
10978,Estonia,2017,9,M-Musculo-skeletal system,% of total sales,5.6
10979,Estonia,2017,9,M-Musculo-skeletal system,"/capita, US$ exchange rate",14.4
10980,Estonia,2017,9,A10-Drugs used in diabetes,"/capita, US$ exchange rate",15.4
10981,Estonia,2017,9,A10-Drugs used in diabetes,"Million US$, purchasing power parity",33.6
10982,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,9.5
10983,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",17.8
10984,Estonia,2017,9,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,10.7
10985,Estonia,2017,9,M-Musculo-skeletal system,"Million US$, purchasing power parity",31.5
10986,Estonia,2017,9,M-Musculo-skeletal system,Million US$ at exchange rate,19.0
10987,Estonia,2017,9,M-Musculo-skeletal system,Million of national currency units,16.8
